start_date,start_time,end_date,end_time,sum,Manual_Review,num_true_positives_pitchtracked
3/1/25,06:00:00,3/1/25,07:00:00,1,0,0
3/1/25,07:00:00,3/1/25,08:00:00,0,0,0
3/1/25,08:00:00,3/1/25,09:00:00,1,1,0
3/1/25,09:00:00,3/1/25,10:00:00,2,1,0
3/1/25,10:00:00,3/1/25,11:00:00,9,0,0
3/1/25,11:00:00,3/1/25,12:00:00,10,0,0
3/1/25,12:00:00,3/1/25,13:00:00,8,1,5
3/1/25,13:00:00,3/1/25,14:00:00,12,2,2
3/1/25,14:00:00,3/1/25,15:00:00,6,1,4
3/1/25,15:00:00,3/1/25,16:00:00,36,1,24
3/1/25,16:00:00,3/1/25,17:00:00,62,1,43
3/1/25,17:00:00,3/1/25,18:00:00,32,1,17
3/1/25,18:00:00,3/1/25,19:00:00,0,0,0
3/1/25,19:00:00,3/1/25,20:00:00,1,0,0
3/1/25,20:00:00,3/1/25,21:00:00,21,1,1
3/1/25,21:00:00,3/1/25,22:00:00,1,0,0
3/1/25,22:00:00,3/1/25,23:00:00,10,1,10
3/1/25,23:00:00,3/1/25,24:00:00,10,1,4
3/2/25,00:00:00,3/2/25,01:00:00,10,1,10
3/2/25,01:00:00,3/2/25,02:00:00,14,1,11
3/2/25,02:00:00,3/2/25,03:00:00,11,1,6
3/2/25,03:00:00,3/2/25,04:00:00,16,1,12
3/2/25,04:00:00,3/2/25,05:00:00,2,2,0
3/2/25,05:00:00,3/2/25,06:00:00,13,1,7
3/2/25,06:00:00,3/2/25,07:00:00,1,2,0
3/2/25,07:00:00,3/2/25,08:00:00,4,1,4
3/2/25,08:00:00,3/2/25,09:00:00,10,2,0
3/2/25,09:00:00,3/2/25,10:00:00,2,2,0
3/2/25,10:00:00,3/2/25,11:00:00,3,1,3
3/2/25,11:00:00,3/2/25,12:00:00,1,0,0
3/2/25,12:00:00,3/2/25,13:00:00,10,1,8
